method,look,horizon,n,balance
ledoit_wolf_constant_variance,100,8,116,0.5796459501248227
ledoit_wolf_constant_correlation,93,6,156,0.5794993120094397
ledoit_wolf_constant_correlation,79,5,190,0.5789116271824494
ledoit_wolf_constant_correlation,92,8,117,0.5788426596252518
sample_cov,98,6,155,0.5788411016334409
sample_cov,98,5,187,0.5786256227990052
ledoit_wolf_constant_variance,102,4,233,0.578497749178198
ledoit_wolf,102,4,233,0.578497749178198
ledoit_wolf_single_factor,85,8,118,0.5781170243243804
oracle_approximating,102,8,116,0.577664724697036
ledoit_wolf_constant_variance,86,7,135,0.5774770130056729
ledoit_wolf,86,7,135,0.5774770130056729
exp_cov,95,9,103,0.5769498367095122
ledoit_wolf_constant_correlation,86,9,104,0.5767667303504285
ledoit_wolf_single_factor,85,6,157,0.5766705270385484
ledoit_wolf_single_factor,98,8,116,0.5765157628049634
ledoit_wolf_constant_correlation,89,6,157,0.5763967869077897
ledoit_wolf_constant_correlation,102,7,132,0.5763761534788344
ledoit_wolf_constant_correlation,87,7,134,0.5761765477761313
oracle_approximating,102,4,233,0.5757668119271662
ledoit_wolf_single_factor,94,9,103,0.57576182714465
ledoit_wolf_constant_variance,102,5,186,0.5757164517005329
ledoit_wolf,102,5,186,0.5757164517005329
ledoit_wolf,102,8,116,0.5755652940611626
ledoit_wolf_constant_variance,102,8,116,0.5755652940611626
ledoit_wolf_single_factor,98,3,312,0.5750411649174256
sample_cov,102,8,116,0.5747718848236512
ledoit_wolf_constant_correlation,93,4,235,0.5746201136606542
ledoit_wolf_constant_variance,95,5,187,0.5744546581142418
ledoit_wolf,95,5,187,0.5744546581142418
ledoit_wolf_single_factor,90,8,117,0.574171676306717
semicovariance,77,8,119,0.5735658091447837
sample_cov,102,5,186,0.5734316329481026
exp_cov,96,8,116,0.5733557296905044
ledoit_wolf_constant_correlation,73,5,192,0.5732241856421401
oracle_approximating,102,5,186,0.5732015122068947
ledoit_wolf_single_factor,101,3,311,0.5731689982792485
ledoit_wolf_single_factor,94,5,187,0.5729306130503009
exp_cov,102,9,103,0.5725035111669197
ledoit_wolf_constant_correlation,82,4,238,0.5723833305265701
oracle_approximating,86,7,135,0.5716603033813484
ledoit_wolf_constant_correlation,94,3,313,0.5716003150928293
oracle_approximating,95,5,187,0.5715345257639997
oracle_approximating,98,5,187,0.5715221693082808
ledoit_wolf,98,5,187,0.5713975087465075
ledoit_wolf_constant_variance,98,5,187,0.5713975087465075
ledoit_wolf_constant_correlation,74,8,119,0.5712164679277023
semicovariance,74,8,119,0.5709952631357058
semicovariance,77,3,319,0.5705519223182626
semicovariance,77,6,159,0.570533111723783
semicovariance,75,8,119,0.5703746326396688
exp_cov,95,5,187,0.5703395789958893
ledoit_wolf_single_factor,98,4,234,0.5697237452775328
ledoit_wolf_constant_correlation,95,4,234,0.569583570847001
ledoit_wolf_single_factor,102,6,155,0.569212721564678
ledoit_wolf_constant_correlation,80,7,135,0.5690191467486347
oracle_approximating,95,9,103,0.5678199156824564
semicovariance,74,3,320,0.5675665443272918
ledoit_wolf_constant_correlation,84,6,158,0.5668812289169057
ledoit_wolf_single_factor,99,8,116,0.5668573827711542
ledoit_wolf_constant_correlation,85,4,237,0.5667389283721012
ledoit_wolf_single_factor,99,5,186,0.5658403027428497
ledoit_wolf_constant_variance,92,6,156,0.5658086399597286
ledoit_wolf,92,6,156,0.5658086399597286
ledoit_wolf_single_factor,83,9,105,0.5656490740110294
exp_cov,92,9,104,0.5656466724544325
ledoit_wolf_constant_correlation,96,6,156,0.5654206394952347
ledoit_wolf,97,6,155,0.5653564033602676
ledoit_wolf_constant_variance,97,6,155,0.5653564033602676
ledoit_wolf,94,7,133,0.5653205648344299
ledoit_wolf_constant_variance,94,7,133,0.5653205648344299
ledoit_wolf_constant_correlation,75,8,119,0.5651970875578356
ledoit_wolf,95,9,103,0.5646583644889023
ledoit_wolf_constant_variance,95,9,103,0.5646583644889023
ledoit_wolf_constant_correlation,83,8,118,0.5644787191334713
semicovariance,83,7,135,0.564451975179576
ledoit_wolf_constant_variance,84,7,135,0.5642736981845644
ledoit_wolf,84,7,135,0.5642736981845644
exp_cov,101,6,155,0.5642524146451641
ledoit_wolf_single_factor,93,8,117,0.5641569146466755
sample_cov,102,6,155,0.5638313825228369
ledoit_wolf_constant_correlation,81,6,158,0.5637526865360338
ledoit_wolf_constant_variance,100,5,186,0.5632573537402985
ledoit_wolf,100,5,186,0.5632573537402985
ledoit_wolf_single_factor,82,8,118,0.5630365847477941
sample_cov,100,5,186,0.5629413559878635
exp_cov,99,7,133,0.5626539542965608
ledoit_wolf_constant_correlation,99,3,312,0.5622954044413807
ledoit_wolf_single_factor,95,8,116,0.5622558043073159
oracle_approximating,102,6,155,0.5621999483360142
ledoit_wolf,93,9,104,0.5619710759386609
ledoit_wolf_constant_variance,93,9,104,0.5619710759386609
ledoit_wolf_constant_correlation,87,8,117,0.5615963406621318
ledoit_wolf,100,6,155,0.5615816752294615
ledoit_wolf_constant_variance,100,6,155,0.5615816752294615
ledoit_wolf_single_factor,97,8,116,0.5615331253826666
ledoit_wolf_constant_correlation,74,6,159,0.5613407216958242
ledoit_wolf,102,6,155,0.5613239635112462
ledoit_wolf_constant_variance,102,6,155,0.5613239635112462
sample_cov,95,5,187,0.5612730036697114
ledoit_wolf_constant_correlation,88,3,315,0.5611111091409708
oracle_approximating,100,5,186,0.5608588677081275
ledoit_wolf_constant_correlation,85,3,316,0.5608116262728904
exp_cov,94,6,156,0.5605316870617024
oracle_approximating,92,6,156,0.5602595104127208
oracle_approximating,93,9,104,0.5601944075653227
ledoit_wolf_single_factor,79,7,136,0.5601016456003131
oracle_approximating,84,7,135,0.5600962301063764
sample_cov,93,9,104,0.5599356279230607
ledoit_wolf_constant_correlation,94,8,117,0.5598719506268115
sample_cov,86,7,135,0.5596185465176957
ledoit_wolf_single_factor,92,8,117,0.5585844505358883
exp_cov,101,9,103,0.5584937341216908
oracle_approximating,97,6,155,0.5583216238125965
ledoit_wolf_constant_variance,92,7,134,0.5582664552114024
ledoit_wolf,92,7,134,0.5582664552114024
ledoit_wolf_constant_correlation,83,3,317,0.5582593886467124
ledoit_wolf_single_factor,97,5,187,0.5582097300214791
ledoit_wolf_constant_correlation,77,8,119,0.5576949290821862
ledoit_wolf,101,5,186,0.5573999356756563
ledoit_wolf_constant_variance,101,5,186,0.5573999356756563
ledoit_wolf_constant_correlation,86,5,189,0.5570717670090273
ledoit_wolf,101,7,132,0.5568470260344718
ledoit_wolf_constant_variance,101,7,132,0.5568470260344718
